,DESCRIPTION,UNITE,MIN,MAX,DATATYPE,DATASCIENTISM,PRECISION,FREQUENCE_ECHANTILLONNAGE,VAL_DEF,device
C00000002-B007-kVA L1-JTVA,Sibuet atelier (hall à billettes) - Phase 1 puissance active,JTVA,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000002-B007-kVA L2-JTVA,Sibuet atelier (hall à billettes) - Phase 2 puissance active,JTVA,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000002-B007-kVA L3-JTVA,Sibuet atelier (hall à billettes) - Phase 3 puissance active,JTVA,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000002-B007-kVA sys-JTVA,Sibuet atelier (hall à billettes) - puissance active,JTVA,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000002-B007-kWh-JTWH,Sibuet atelier (hall à billettes) - compteur,JTWH,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000002-B007-kWh (-)-JTWH,Sibuet atelier (hall à billettes) - puissance difference,JTWH,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000002-B007-kvarh-JTVarH,Sibuet atelier (hall à billettes) - compteur puissance reactive ,JTVarH,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000003-B001-kW L1-JTW,Sylfen - Phase 1 puissance,JTW,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000003-B001-kW L2-JTW,Sylfen - Phase 2 puissance,JTW,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000003-B001-kW L3-JTW,Sylfen - Phase 3 puissance,JTW,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000003-B001-kW sys-JTW,Sylfen - puissance,JTW,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000003-B001-kW dmd-JTW,Sylfen - puissance demandée,JTW,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000003-B001-kvar L1-JTVar,Sylfen - Phase 1 puissance reactive,JTVar,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000003-B001-kvar L2-JTVar,Sylfen - Phase 2 puissance reactive,JTVar,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000003-B001-kvar L3-JTVar,Sylfen - Phase 3 puissance reactive,JTVar,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000003-B001-kvar sys-JTVar,Sylfen - puissance reactive,JTVar,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000003-B001-kVA L1-JTVA,Sylfen - Phase 1 puissance active,JTVA,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000003-B001-kVA L2-JTVA,Sylfen - Phase 2 puissance active,JTVA,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000003-B001-kVA L3-JTVA,Sylfen - Phase 3 puissance active,JTVA,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000003-B001-kVA sys-JTVA,Sylfen - puissance active,JTVA,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000003-B001-kWh-JTWH,Sylfen - compteur,JTWH,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000003-B001-kWh (-)-JTWH,Sylfen - puissance difference,JTWH,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000003-B001-kWh L1-JTWH,Sylfen - Phase 1 compteur,JTWH,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000003-B001-kWh L2-JTWH,Sylfen - Phase 2 compteur,JTWH,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000003-B001-kWh L3-JTWH,Sylfen - Phase 3 compteur,JTWH,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000003-B001-kvarh-JTVarH,Sylfen - compteur puissance reactive ,JTVarH,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000004-A002-kW L1-JTW,Bureaux et communs administratif centraux rez de chaussée - Phase 1 puissance,JTW,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000004-A002-kW sys-JTW,Bureaux et communs administratif centraux rez de chaussée - puissance,JTW,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000004-A002-kvar L1-JTVar,Bureaux et communs administratif centraux rez de chaussée - Phase 1 puissance reactive,JTVar,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000004-A002-kvar sys-JTVar,Bureaux et communs administratif centraux rez de chaussée - puissance reactive,JTVar,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000004-A002-kVA L1-JTVA,Bureaux et communs administratif centraux rez de chaussée - Phase 1 puissance active,JTVA,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000004-A002-kVA sys-JTVA,Bureaux et communs administratif centraux rez de chaussée - puissance active,JTVA,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000004-A002-kWh-JTWH,Bureaux et communs administratif centraux rez de chaussée - compteur,JTWH,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000004-A002-kWh (-)-JTWH,Bureaux et communs administratif centraux rez de chaussée - puissance difference,JTWH,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000004-A002-kWh L1-JTWH,Bureaux et communs administratif centraux rez de chaussée - Phase 1 compteur,JTWH,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000004-A002-kvarh-JTVarH,Bureaux et communs administratif centraux rez de chaussée - compteur puissance reactive ,JTVarH,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000005-A001-kW L1-JTW,"coffret ""local pompes"" - Phase 1 puissance",JTW,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000005-A001-kW sys-JTW,"coffret ""local pompes"" - puissance",JTW,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000005-A001-kvar L1-JTVar,"coffret ""local pompes"" - Phase 1 puissance reactive",JTVar,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000005-A001-kvar sys-JTVar,"coffret ""local pompes"" - puissance reactive",JTVar,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000005-A001-kVA L1-JTVA,"coffret ""local pompes"" - Phase 1 puissance active",JTVA,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000005-A001-kVA sys-JTVA,"coffret ""local pompes"" - puissance active",JTVA,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000005-A001-kWh-JTWH,"coffret ""local pompes"" - compteur",JTWH,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000005-A001-kWh (-)-JTWH,"coffret ""local pompes"" - puissance difference",JTWH,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000005-A001-kWh L1-JTWH,"coffret ""local pompes"" - Phase 1 compteur",JTWH,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000005-A001-kvarh-JTVarH,"coffret ""local pompes"" - compteur puissance reactive ",JTVarH,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000006-B006-kW L1-JTW,Carrossier - Phase 1 puissance,JTW,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000006-B006-kW L2-JTW,Carrossier - Phase 2 puissance,JTW,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000006-B006-kW L3-JTW,Carrossier - Phase 3 puissance,JTW,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000006-B006-kW sys-JTW,Carrossier - puissance,JTW,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000006-B006-kW dmd-JTW,Carrossier - puissance demandée,JTW,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000006-B006-kvar L1-JTVar,Carrossier - Phase 1 puissance reactive,JTVar,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000006-B006-kvar L2-JTVar,Carrossier - Phase 2 puissance reactive,JTVar,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000006-B006-kvar L3-JTVar,Carrossier - Phase 3 puissance reactive,JTVar,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000006-B006-kvar sys-JTVar,Carrossier - puissance reactive,JTVar,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000006-B006-kVA L1-JTVA,Carrossier - Phase 1 puissance active,JTVA,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000006-B006-kVA L2-JTVA,Carrossier - Phase 2 puissance active,JTVA,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000006-B006-kVA L3-JTVA,Carrossier - Phase 3 puissance active,JTVA,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000006-B006-kVA sys-JTVA,Carrossier - puissance active,JTVA,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000006-B006-kWh-JTWH,Carrossier - compteur,JTWH,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000006-B006-kWh (-)-JTWH,Carrossier - puissance difference,JTWH,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000006-B006-kWh L1-JTWH,Carrossier - Phase 1 compteur,JTWH,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000006-B006-kWh L2-JTWH,Carrossier - Phase 2 compteur,JTWH,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000006-B006-kWh L3-JTWH,Carrossier - Phase 3 compteur,JTWH,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000006-B006-kvarh-JTVarH,Carrossier - compteur puissance reactive ,JTVarH,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000007-E003-kW L1-JTW,Dressage Geodis - Phase 1 puissance,JTW,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000007-E003-kW L2-JTW,Dressage Geodis - Phase 2 puissance,JTW,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000007-E003-kW L3-JTW,Dressage Geodis - Phase 3 puissance,JTW,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000007-E003-kW sys-JTW,Dressage Geodis - puissance,JTW,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000007-E003-kvar L1-JTVar,Dressage Geodis - Phase 1 puissance reactive,JTVar,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000007-E003-kvar L2-JTVar,Dressage Geodis - Phase 2 puissance reactive,JTVar,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000007-E003-kvar L3-JTVar,Dressage Geodis - Phase 3 puissance reactive,JTVar,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000007-E003-kvar sys-JTVar,Dressage Geodis - puissance reactive,JTVar,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000007-E003-kVA L1-JTVA,Dressage Geodis - Phase 1 puissance active,JTVA,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000007-E003-kVA L2-JTVA,Dressage Geodis - Phase 2 puissance active,JTVA,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000007-E003-kVA L3-JTVA,Dressage Geodis - Phase 3 puissance active,JTVA,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000007-E003-kVA sys-JTVA,Dressage Geodis - puissance active,JTVA,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000007-E003-kWh-JTWH,Dressage Geodis - compteur,JTWH,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000007-E003-kWh (-)-JTWH,Dressage Geodis - puissance difference,JTWH,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000007-E003-kvarh-JTVarH,Dressage Geodis - compteur puissance reactive ,JTVarH,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000008-B003-kW L1-JTW,K2M - Phase 1 puissance,JTW,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000008-B003-kW L2-JTW,K2M - Phase 2 puissance,JTW,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000008-B003-kW L3-JTW,K2M - Phase 3 puissance,JTW,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000008-B003-kW sys-JTW,K2M - puissance,JTW,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000008-B003-kW dmd-JTW,K2M - puissance demandée,JTW,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000008-B003-kvar L1-JTVar,K2M - Phase 1 puissance reactive,JTVar,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000008-B003-kvar L2-JTVar,K2M - Phase 2 puissance reactive,JTVar,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000008-B003-kvar L3-JTVar,K2M - Phase 3 puissance reactive,JTVar,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000008-B003-kvar sys-JTVar,K2M - puissance reactive,JTVar,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000008-B003-kVA L1-JTVA,K2M - Phase 1 puissance active,JTVA,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000008-B003-kVA L2-JTVA,K2M - Phase 2 puissance active,JTVA,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000008-B003-kVA L3-JTVA,K2M - Phase 3 puissance active,JTVA,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000008-B003-kVA sys-JTVA,K2M - puissance active,JTVA,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000008-B003-kWh-JTWH,K2M - compteur,JTWH,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000008-B003-kWh (-)-JTWH,K2M - puissance difference,JTWH,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000008-B003-kWh L1-JTWH,K2M - Phase 1 compteur,JTWH,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000008-B003-kWh L2-JTWH,K2M - Phase 2 compteur,JTWH,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000008-B003-kWh L3-JTWH,K2M - Phase 3 compteur,JTWH,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000008-B003-kvarh-JTVarH,K2M - compteur puissance reactive ,JTVarH,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000009-A004-kW L1-JTW,Locaux sociaux de Sibuet - Phase 1 puissance,JTW,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000009-A004-kW sys-JTW,Locaux sociaux de Sibuet - puissance,JTW,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000009-A004-kvar L1-JTVar,Locaux sociaux de Sibuet - Phase 1 puissance reactive,JTVar,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000009-A004-kvar sys-JTVar,Locaux sociaux de Sibuet - puissance reactive,JTVar,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000009-A004-kVA L1-JTVA,Locaux sociaux de Sibuet - Phase 1 puissance active,JTVA,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000009-A004-kVA sys-JTVA,Locaux sociaux de Sibuet - puissance active,JTVA,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000009-A004-kWh-JTWH,Locaux sociaux de Sibuet - compteur,JTWH,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000009-A004-kWh (-)-JTWH,Locaux sociaux de Sibuet - puissance difference,JTWH,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000009-A004-kWh L1-JTWH,Locaux sociaux de Sibuet - Phase 1 compteur,JTWH,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000009-A004-kvarh-JTVarH,Locaux sociaux de Sibuet - compteur puissance reactive ,JTVarH,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C0000000a-D002-kW L1-JTW,RDC aile Chartreuse - Phase 1 puissance,JTW,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C0000000a-D002-kW L2-JTW,RDC aile Chartreuse - Phase 2 puissance,JTW,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C0000000a-D002-kW L3-JTW,RDC aile Chartreuse - Phase 3 puissance,JTW,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C0000000a-D002-kW sys-JTW,RDC aile Chartreuse - puissance,JTW,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C0000000a-D002-kW dmd-JTW,RDC aile Chartreuse - puissance demandée,JTW,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C0000000a-D002-kvar L1-JTVar,RDC aile Chartreuse - Phase 1 puissance reactive,JTVar,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C0000000a-D002-kvar L2-JTVar,RDC aile Chartreuse - Phase 2 puissance reactive,JTVar,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C0000000a-D002-kvar L3-JTVar,RDC aile Chartreuse - Phase 3 puissance reactive,JTVar,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C0000000a-D002-kvar sys-JTVar,RDC aile Chartreuse - puissance reactive,JTVar,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C0000000a-D002-kVA L1-JTVA,RDC aile Chartreuse - Phase 1 puissance active,JTVA,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C0000000a-D002-kVA L2-JTVA,RDC aile Chartreuse - Phase 2 puissance active,JTVA,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C0000000a-D002-kVA L3-JTVA,RDC aile Chartreuse - Phase 3 puissance active,JTVA,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C0000000a-D002-kVA sys-JTVA,RDC aile Chartreuse - puissance active,JTVA,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C0000000a-D002-kWh-JTWH,RDC aile Chartreuse - compteur,JTWH,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C0000000a-D002-kWh (-)-JTWH,RDC aile Chartreuse - puissance difference,JTWH,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C0000000a-D002-kWh L1-JTWH,RDC aile Chartreuse - Phase 1 compteur,JTWH,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C0000000a-D002-kWh L2-JTWH,RDC aile Chartreuse - Phase 2 compteur,JTWH,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C0000000a-D002-kWh L3-JTWH,RDC aile Chartreuse - Phase 3 compteur,JTWH,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C0000000a-D002-kvarh-JTVarH,RDC aile Chartreuse - compteur puissance reactive ,JTVarH,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C0000000b-D001-kW L1-JTW,Clim Sweetair - Phase 1 puissance,JTW,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C0000000b-D001-kW L2-JTW,Clim Sweetair - Phase 2 puissance,JTW,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C0000000b-D001-kW L3-JTW,Clim Sweetair - Phase 3 puissance,JTW,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C0000000b-D001-kW sys-JTW,Clim Sweetair - puissance,JTW,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C0000000b-D001-kW dmd-JTW,Clim Sweetair - puissance demandée,JTW,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C0000000b-D001-kvar L1-JTVar,Clim Sweetair - Phase 1 puissance reactive,JTVar,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C0000000b-D001-kvar L2-JTVar,Clim Sweetair - Phase 2 puissance reactive,JTVar,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C0000000b-D001-kvar L3-JTVar,Clim Sweetair - Phase 3 puissance reactive,JTVar,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C0000000b-D001-kvar sys-JTVar,Clim Sweetair - puissance reactive,JTVar,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C0000000b-D001-kVA L1-JTVA,Clim Sweetair - Phase 1 puissance active,JTVA,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C0000000b-D001-kVA L2-JTVA,Clim Sweetair - Phase 2 puissance active,JTVA,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C0000000b-D001-kVA L3-JTVA,Clim Sweetair - Phase 3 puissance active,JTVA,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C0000000b-D001-kVA sys-JTVA,Clim Sweetair - puissance active,JTVA,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C0000000b-D001-kWh-JTWH,Clim Sweetair - compteur,JTWH,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C0000000b-D001-kWh (-)-JTWH,Clim Sweetair - puissance difference,JTWH,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C0000000b-D001-kWh L1-JTWH,Clim Sweetair - Phase 1 compteur,JTWH,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C0000000b-D001-kWh L2-JTWH,Clim Sweetair - Phase 2 compteur,JTWH,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C0000000b-D001-kWh L3-JTWH,Clim Sweetair - Phase 3 compteur,JTWH,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C0000000b-D001-kvarh-JTVarH,Clim Sweetair - compteur puissance reactive ,JTVarH,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C0000000c-A005-kW L1-JTW,Poste de garde  - Phase 1 puissance,JTW,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C0000000c-A005-kW L2-JTW,Poste de garde  - Phase 2 puissance,JTW,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C0000000c-A005-kW L3-JTW,Poste de garde  - Phase 3 puissance,JTW,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C0000000c-A005-kW sys-JTW,Poste de garde  - puissance,JTW,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C0000000c-A005-kW dmd-JTW,Poste de garde  - puissance demandée,JTW,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C0000000c-A005-kvar L1-JTVar,Poste de garde  - Phase 1 puissance reactive,JTVar,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C0000000c-A005-kvar L2-JTVar,Poste de garde  - Phase 2 puissance reactive,JTVar,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C0000000c-A005-kvar L3-JTVar,Poste de garde  - Phase 3 puissance reactive,JTVar,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C0000000c-A005-kvar sys-JTVar,Poste de garde  - puissance reactive,JTVar,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C0000000c-A005-kVA L1-JTVA,Poste de garde  - Phase 1 puissance active,JTVA,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C0000000c-A005-kVA L2-JTVA,Poste de garde  - Phase 2 puissance active,JTVA,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C0000000c-A005-kVA L3-JTVA,Poste de garde  - Phase 3 puissance active,JTVA,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C0000000c-A005-kVA sys-JTVA,Poste de garde  - puissance active,JTVA,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C0000000c-A005-kWh-JTWH,Poste de garde  - compteur,JTWH,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C0000000c-A005-kWh (-)-JTWH,Poste de garde  - puissance difference,JTWH,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C0000000c-A005-kWh L1-JTWH,Poste de garde  - Phase 1 compteur,JTWH,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C0000000c-A005-kWh L2-JTWH,Poste de garde  - Phase 2 compteur,JTWH,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C0000000c-A005-kWh L3-JTWH,Poste de garde  - Phase 3 compteur,JTWH,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C0000000c-A005-kvarh-JTVarH,Poste de garde  - compteur puissance reactive ,JTVarH,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
