,DESCRIPTION,UNITE,MIN,MAX,DATATYPE,DATASCIENTISM,PRECISION,FREQUENCE_ECHANTILLONNAGE,VAL_DEF,device
C00000001-A003-kW L1-JTW,Altitude commerciale (la conserverie) - Phase 1 puissance,JTW,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000001-A003-kW L2-JTW,Altitude commerciale (la conserverie) - Phase 2 puissance,JTW,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000001-A003-kW L3-JTW,Altitude commerciale (la conserverie) - Phase 3 puissance,JTW,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000001-A003-kW sys-JTW,Altitude commerciale (la conserverie) - puissance,JTW,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000001-A003-kvar L1-JTVar,Altitude commerciale (la conserverie) - Phase 1 puissance reactive,JTVar,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000001-A003-kvar L2-JTVar,Altitude commerciale (la conserverie) - Phase 2 puissance reactive,JTVar,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000001-A003-kvar L3-JTVar,Altitude commerciale (la conserverie) - Phase 3 puissance reactive,JTVar,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000001-A003-kvar sys-JTVar,Altitude commerciale (la conserverie) - puissance reactive,JTVar,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000001-A003-kVA L1-JTVA,Altitude commerciale (la conserverie) - Phase 1 puissance active,JTVA,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000001-A003-kVA L2-JTVA,Altitude commerciale (la conserverie) - Phase 2 puissance active,JTVA,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000001-A003-kVA L3-JTVA,Altitude commerciale (la conserverie) - Phase 3 puissance active,JTVA,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000001-A003-kVA sys-JTVA,Altitude commerciale (la conserverie) - puissance active,JTVA,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000001-A003-kWh-JTWH,Altitude commerciale (la conserverie) - compteur,JTWH,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000001-A003-kWh (-)-JTWH,Altitude commerciale (la conserverie) - puissance difference,JTWH,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000001-A003-kvarh-JTVarH,Altitude commerciale (la conserverie) - compteur puissance reactive ,JTVarH,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000002-B007-kW L1-JTW,Sibuet atelier (hall à billettes) - Phase 1 puissance,JTW,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000002-B007-kW L2-JTW,Sibuet atelier (hall à billettes) - Phase 2 puissance,JTW,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000002-B007-kW L3-JTW,Sibuet atelier (hall à billettes) - Phase 3 puissance,JTW,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000002-B007-kW sys-JTW,Sibuet atelier (hall à billettes) - puissance,JTW,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000002-B007-kvar L1-JTVar,Sibuet atelier (hall à billettes) - Phase 1 puissance reactive,JTVar,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000002-B007-kvar L2-JTVar,Sibuet atelier (hall à billettes) - Phase 2 puissance reactive,JTVar,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000002-B007-kvar L3-JTVar,Sibuet atelier (hall à billettes) - Phase 3 puissance reactive,JTVar,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
C00000002-B007-kvar sys-JTVar,Sibuet atelier (hall à billettes) - puissance reactive,JTVar,-200000.0,200000.0,REAL,True,0.01,5,0,vmuc
