ചന്ദനസാരം ,BBBBBBBBGG
മദിര ,BBBBBBBG
സരോജ സമാഖ്യം ,BBBBBBBGG
അശ്വഗതി-1,BBBBBG
അശ്വഗതി-2,BBBBBS
സാരവതി ,BBBG
ചാരണഗീതം/ദോധകം  ,BBBGG
"(A/V)ഉപചിത്രം-പാദം-2,4",BBBGG
"(A/V)ദ്രുതമദ്ധ്യ-പാദം-1,3",BBBGG
"(A/V)വേഗവതി-പാദം-2,4",BBBGG
ചിത്രപദ ,BBG
വിപുല ,BBL
കരകമലം ,BBNJNS
ഭവതരണം ,BBNNBS
ഉജ്വല ,BBNY
വിപുല ,BJG
വിപുല ,BJL
വിപുല ,BMG
വിപുല ,BML
മണിമദ്ധ്യം ,BMS
ക്രൗഞ്ചപദ-2,BMSBNNGG
ക്രൗഞ്ചപദ-1,BMSBNNNY
ചമ്പകമാല ,BMSG
ലലന ,BMSS
ശശധര ബിംബം ,BNJJNSBSG
(A/V)ഉദ്ഗതാ-പാദം-3,BNJLG
വിപുല ,BNL
ഗിരിശിഖരം ,BNNNLG
"അനുഷ്ടുഭ്-പാദം-1,3",BRGG
"അനുഷ്ടുഭ്-പാദം-1,3",BRGL
"നാഗരികം/അനുഷ്ടുഭ്-പാദം-2,4",BRLG
"അനുഷ്ടുഭ്- പാദം-2,4",BRLL
ശൈല ശിഖ ,BRNBBG
ഉത്പലമാലിക ,BRNBBRLG
വംശപത്രപതിതം ,BRNBNLG
"(A/V)കേതുമതി-പാദം-2,4",BRNGG
ധീരലളിത  ,BRNRNG
ഭദ്രകം ,BRNRNRG
"അനുഷ്ടുഭ്-പാദം-1,3",BSGG
"അനുഷ്ടുഭ്-പാദം-1,3",BSGL
സുദതി ,BSJS
"അനുഷ്ടുഭ്-പാദം-2,4",BSLG
"അനുഷ്ടുഭ്-പാദം-2,4",BSLL
രമണം-1,BSNJNS
ഗുരു ,BSNLG
പരിണാമം ,BSNNBGG
സുകൃതം ,BSNNBS
രജനി ,BSNNG
കന്യാ-1,BSNY
പത്രലത ,BSSSBG
വിപുല ,BTG
വിപുല ,BTL
മാണവകം ,BTLG
മൗക്തികമാല(ശ്രീ),BTNGG
സുഭഗ ,BTNS
തന്വി ,BTNSBBNY
കമലാക്ഷം,BTYBSSG
വിപുല ,BYG
വിപുല ,BYL
ശ്രീ,G
സ്ത്രീ      ,GG
മത്തേഭവിക്രീഡിതം,GMSJSTTG
പഞ്ചചാമരം-2/സുമംഗലാഭിതം,JBJR
വിപുല ,JBL
ചപലവക്ത്രം ,JBLG
അതിരുചിരം  ,JBSJG
മാല ,JGG
വിപുല ,JJG
മൗക്തിക ദാമ ,JJJJ
വിപുല ,JJL
വിപുല ,JMG
വിപുല ,JML
വിപുല ,JNL
ചപലവക്ത്രം ,JNLG
"അനുഷ്ടുഭ്-പാദം-1,3/വക്ത്രം",JRGG
"അനുഷ്ടുഭ്-പാദം-1,3",JRGL
"(A/V)പരാവതി–പാദം-2,4",JRJRG
പഞ്ചചാമരം-1,JRJRJG
(D)അനംശേഖരം-1,JRJRJRJRJG
(D)അനംശേഖരം-2,JRJRJRJRJR
(D)അനംശേഖരം-4,JRJRJRJRJRJG
(D)അനംശേഖരം-5,JRJRJRJRJRJR
(D)അനംശേഖരം-3,JRJRJRJRJRLG
പ്രമാണിക,JRLG
"അനുഷ്ടുഭ്-പാദം-2,4/പദ്യാവക്ത്രം",JRLG
"അനുഷ്ടുഭ്-പാദം-2,4",JRLL
"അനുഷ്ടുഭ്-പാദം-1,3/വക്ത്രം",JSGG
"അനുഷ്ടുഭ്-പാദം-1,3",JSGL
ജലോദ്ധതഗതി ,JSJS
പൃത്ഥ്വി-1,JSJSYG
"അനുഷ്ടുഭ്-പാദം-2,4/പദ്യാവക്ത്രം",JSLG
"അനുഷ്ടുഭ്-പാദം-2,4",JSLL
ശംഭുനടനം ,JSNBJSNBLG
ഉപസ്ഥിത ,JSTGG
വിപുല ,JTG
വിതാനം ,JTGG
ഉപേന്ദ്രവജ്ര ,JTJGG
"(A/V)ആഖ്യാനക്കി-പാദം-2,4",JTJGG
"(A/V)വിപരീതാഖ്യാനകീ-പാദം-1,3",JTJGG
വംശസ്ഥ,JTJR
വിപുല ,JTL
മത്തകാശിനി ,JTSJG
കേരളി ,JTTLG
വിപുല ,JYG
വിപുല ,JYL
ഖഗ,L
ശിവം,LL
നാരി ,M
വിപുല ,MBL
ചപലവക്ത്രം ,MBLG
രുചിരതരം ,MBNJNG
ഭ്രമരവിലസിതം ,MBNLG
മന്ദാക്രാന്താ ,MBNTTG
സകലകല ,MBSBS
മത്ത ,MBSG
ജലധരമാല  ,MBSM
വാണി ,MBSNYSG
വാതോർമ്മി   ,MBTGG
കന്യാ-2,MG
ഗൗരി ,MGG
വിപുല ,MJG
വിപുല ,MJL
സിംഹവിഷ്‌ഫൂർജിതം ,MMBMYY
വിപുല ,MMG
വിദ്യുന്മാല ,MMGG
വിപുല ,MML
കാമക്രീഡ,MMMMM
മത്താക്രീഡ ,MMTNNNNLG
ഭുജംഗവിജൃംഭിതം ,MMTNNNRSLG
വൈശ്വദേവി ,MMYY
ഹംസരുത ,MNGG
പ്രഹർഷിണി ,MNJRG
വിപുല ,MNL
ചപലവക്ത്രം ,MNLG
രമണീയം ,MNY
സുവദന ,MRBNYBGL
സ്രഗ്ന്ധര,MRBNYYY
"അനുഷ്ടുഭ്-പാദം-1,3/വക്ത്രം",MRGG
"അനുഷ്ടുഭ്-പാദം-1,3",MRGL
"അനുഷ്ടുഭ്-പാദം-2,4/പദ്യാവക്ത്രം",MRLG
"അനുഷ്ടുഭ്-പാദം-2,4",MRLL
ചന്ദ്രലേഖ-1,MRMYY
മദലേഖ,MSG
"അനുഷ്ടുഭ്-പാദം-1,3",MSGL
(A/V)ഉപസ്ഥിതപ്രചൂപിത/വർദ്ധമാന/ ശുദ്ധവിരാടാർഷഭം–പാദം-1 ,MSJBGG
ഹരിണപ്ലുതം ,MSJBR
ശുദ്ധവിരാൾ  ,MSJG
"(A/V)ഭദ്രവിരാൾ-പാദം-2,4",MSJSS
ശാർദ്ദൂലവിക്രീഡിതം ,MSJSTTG
"അനുഷ്ടുഭ്-പാദം-2,4/പദ്യാവക്ത്രം",MSLG
"അനുഷ്ടുഭ്-പാദം-2,4",MSLL
അലോല ,MSSMGG
മണി ദീപ്‌തി ,MSSTJYG
വിപുല ,MTG
വിപുല ,MTL
