ചന്ദനസാരം ,BBBBBBBBGG
സാരസകലിക,MTNBS
അസംബാധ ,MTNSGG
കുസുമിതലതാവേല്ലിത,MTNYY
മത്തമയൂരം ,MTSG
ശാലിനി  ,MTTGG
വിപുല ,MYG
വിപുല ,MYL
ദ്രുതവിളംബിതം ,NBBR
"(A/V)ഹരിണപ്ലുതം-പാദം-2,4",NBBR
മധുമതി ,NBG
അശ്വലളിതം,NBJJBJBLG
മഞ്ജുള ,NBJJBJBLG
പ്രിയംവദ ,NBJR
ദ്രുതഗതി ,NBJY
വിപുല ,NBL
കുമുദിനി ,NBNBNBR
ദ്രുതപദം ,NBNY
ഭ്രമരാവലി ,NBRSJJG
മകരന്ദിക ,NBRSJJG
ഇന്ദുവന്ദന ,NBSNGG
ജലധരനീലം ,NGNGG
കുമാരി-1 ,NJBJGG
നർക്കുടകം ,NJBJJLG
പ്രമദ ,NJBJLG
പ്രഭദ്രകം-1,NJBJR
വാണിനി(ഭാരതി),NJBJRG
ലളിതം-2,NJBSJSJS
നവമാലിക ,NJBY
വിപുല ,NJG
സുമുഖി-1,NJJGG
ഭവസാരം ,NJJNNNGG
മാനിനി ,NJJR
"(A/V)പുഷ്പിതാഗ്ര-പാദം-2,4",NJJRG
ലളിതപദം ,NJJY
"(A/V)ദ്രുതമദ്ധ്യ-പാദം-2,4",NJJY
വിപുല ,NJL
സുശരീരം  ,NJNBBGG
സലിലനിധി ,NJNJJJR
കുവലിനി ,NJNNJNG
വലജം,NJNNLG
കരംഭം ,NJNNSNNGG
അതിരുചിര-1  ,NJNS
ഗുണജാലം ,NJNSBGG
ലളിതശരീരം ,NJNSG
സരോരുഹ  ,NJNSLL
മണിഘൃണി ,NJNSNNBGG
അമലതാരം ,NJNSNNG
കമലദിവാകരം  ,NJNSNNMG
പ്രഭദ്രകം-2,NJSJG
ഗിരിസാരം ,NJYBSG
നൃപതിലലാമം ,NJYNYNY
വിപുല ,NMG
"(A/V)അപരവക്ത്രം-പാദം-2,4",NMJJR
വിപുല ,NML
രമണം-2,NNBBG
ധൃതകുതുകം ,NNBBNNG
പൃത്ഥ്വി-2,NNBGG
ശുഭജാതം ,NNBGG
ജ്വാല ,NNBM
മധുകരകളഭം ,NNBMSNNNS
പ്രഥമപദം,NNBNJNG
പ്രഹരണ തിലകം ,NNBNLG
രമണണി,NNBNYGG
ഉജ്ജ്വല ,NNBR
മദനീയം ,NNBSBGG
കമലാകരം,NNBSLL
മണിമകുടം ,NNBSSNJNG
(A/V)ആപീഡം-പാദം-1,NNGG
പാത്രം ,NNJNNNGG
വിപുല ,NNL
ശിശുഭൃത,NNM
ലളിതം-1,NNMR
ഹരി ,NNMRSLG
പുടം,NNMY
മാലിനി ,NNMYY
സുഖകര ,NNNJNSG
(A/V)ഉപസ്ഥിത പ്രചൂപിത/വർദ്ധമാന/ ശുദ്ധവിരാടാർഷഭം–പാദം-4,NNNJY
രമണം-3,NNNLG
അഘഹരണം ,NNNNG
പരിമളം ,NNNNG
മണിദീപം ,NNNNNGG
(A/V)ആപീഡം-പാദം-4,NNNNNNGG
അതിരുചിര-2 ,NNNNNNS
വിലാസിനി ,NNNNRRRR
ശശികല-2 ,NNNNS
(A/V)ആപീഡം-പാദം-3,NNNNSG
മധുരതരം ,NNNNSNGG
സാരസനയന  ,NNNTMG
(A/V)ആപീഡം-പാദം-2,NNNY
നവ താരുണ്യം ,NNNYG
രഥോദ്ധത  ,NNRLG
ഭദ്രക ,NNRLG
"(A/V)അപരവക്ത്രം-പാദം-1,3",NNRLG
പ്രഭ(ഗൗരി/പ്രമുദിതവദന),NNRR
അലസ(ദിശ/നിശ),NNRRRR
മഹാമാലിക ,NNRRRR
(D)ചണ്ഡവൃഷ്ടി പ്രയാതം ,NNRRRRRRR
(D)അർണ്ണം,NNRRRRRRRR
(D)അർണ്ണവം ,NNRRRRRRRRR
(D)വ്യാളം,NNRRRRRRRRRR
(D)ജീമൂതം,NNRRRRRRRRRRR
(D)ലീലാകരം ,NNRRRRRRRRRRRR
അപരാജിത ,NNRSLG
"(A/V)പുഷ്പിതാഗ്ര-പാദം-1,3",NNRY
(A/V)ഉപസ്ഥിതപ്രചൂപിത-പാദം-3,NNS
വൃത്ത,NNSGG
(A/V)വർദ്ധമാന-പാദം-3,NNSNNS
(A/V)ലളിതാ-പാദം-3,NNSS
ഉപമാലിനി ,NNTBR
ചിത്രവൃത്താ ,NNTGG
സുലലാമ ,NNTNBGG
മംഗളഫലകം ,NNTNG
ക്ഷമ,NNTT
വിദ്യുത്ത്   ,NNTTG
(D)പ്രചിതകം,NNYYYYYYY
"അനുഷ്ടുഭ്-പാദം-1,3",NRGG
"അനുഷ്ടുഭ്-പാദം-1,3",NRGL
മനോരമ ,NRJG
"അനുഷ്ടുഭ്-പാദം-2,4",NRLG
"അനുഷ്ടുഭ്-പാദം-2,4",NRLL
സുകേസരം,NRNRLG
തരംഗിണി(സംസ്‌കൃത),NRNRNRG
സമ്മത,NRRLG
"അനുഷ്ടുഭ്-പാദം-1,3",NSGG
"അനുഷ്ടുഭ്-പാദം-1,3",NSGL
ചിത്രലേഖ ,NSJBJGG
(A/V)ലളിതാ/സൗരഭ/ഉദ്ഗതാ-പാദം-2,NSJG
"അനുഷ്ടുഭ്-പാദം-2,4",NSLG
"അനുഷ്ടുഭ്-പാദം-2,4",NSLL
ഹരിണി ,NSMRSLG
ചന്ദ്രലേഖ-2 ,NSRRG
വിപുല ,NTG
വിപുല ,NTL
ഉർവശി ,NTTTG
മൗക്തിക പംക്തി ,NYBGG
രസപാത്രം  ,NYBTNBGG
വിപുല ,NYG
വിപുല ,NYL
ഗംഗ ,NYMNNBGG
കുസുമവിചിത്ര,NYNY
സംസാരം ,NYNYM
കളത്രം ,NYNYNJY
രസരംഗം ,NYNYSG
ലക്ഷ്‌മി ,NYSBNNSG
കാരീരം ,NYSTNBGG
മൃഗി ,R
വിപുല ,RBL
ചപലവക്ത്രം ,RBLG
വിപുല ,RJG
സമാനിക ,RJGL
വിപുല ,RJL
മയൂര സാരിണി   ,RJRG
"(A/V)പരാവതി-പാദം-1,3",RJRJM
വൃത്തം ,RJRJRJGL
കന്യകാമണി ,RJRJRJRJLG
ശേനികാഘ്യ ,RJRLG
മല്ലിക ,RJSJBR
വിപുല ,RMG
വിപുല ,RML
(A/V)സൗരഭ-പാദം-33,RNBG
സ്വാഗത,RNBGG
ചന്ദ്രവർത്മ  ,RNBS
ഹരനർത്തനം ,RNJYBR
വിപുല ,RNL
ചപലവക്ത്രം ,RNLG
ഭദ്രികാ ,RNR
കുസുമമഞ്ജരി,RNRNRNR
ഫലമുഖി ,RNS
രത്നാവലി ,RR
"അനുഷ്ടുഭ്-പാദം-1,3/വക്ത്രം",RRGG
"അനുഷ്ടുഭ്-പാദം-1,3",RRGL
"അനുഷ്ടുഭ്-പാദം-2,4/പദ്യാവക്ത്രം",RRLG
"അനുഷ്ടുഭ്-പാദം-2,4",RRLL
സ്രഗ്വിണി ,RRRR
ചന്ദ്രരേഖ,RRRRR
ഛാന്ദസി ,RRRRRG
"അനുഷ്ടുഭ്-പാദം-1,3/വക്ത്രം",RSGG
"അനുഷ്ടുഭ്-പാദം-1,3",RSGL
കുമുദ്വതി ,RSJJJJJJG
"അനുഷ്ടുഭ്-പാദം-2,4/പദ്യാവക്ത്രം",RSLG
"അനുഷ്ടുഭ്-പാദം-2,4",RSLL
വിപുല ,RTG
വിപുല ,RTL
വിപുല ,RYG
വിപുല ,RYL
ഗുണസദനം,SBBSNJNS
മനപായം ,SBBSSNY
വിപുല ,SBL
ചപലവക്ത്രം ,SBLG
വസുധ ,SBNJL
"(A/V)വിയോഗിനി-പാദം-2,4",SBRY
വനമാലം ,SBSBSBLG
അമലാഖ്യം ,SBSBSG
ശ്രവണീയം,SBTYNLG
വിപുല ,SJG
വിപുല ,SJL
"(D)ഇക്ഷുദണ്ഡിക–പാദം-2,4",SJNJBJRBN
ശുഭചരിതം,SJNLG
ദളം ,SJNNS
തേലാ ,SJNNY
"(A/V)കേതുമതി-പാദം-1,3",SJSG
മഞ്ജുഭാഷിണി ,SJSJG
(A/V)ലളിതാ/സൗരഭ/ഉദ്ഗതാ-പാദം-4,SJSJG
തടിനി ,SJSJSJS
(A/V)ലളിതാ/സൗരഭ/ഉദ്ഗതാ-പാദം-1 ,SJSL
പ്രമിതാക്ഷര ,SJSS
സരസാഖ്യ ,SJSSG
പത്ഥ്യാ(മഞ്ജരി),SJSYLG
വിപുല ,SMG
വിപുല ,SML
ശങ്കരചരിതം ,SNJNBS
ദൂഷണഹരണം ,SNJNG
ശുഭഗതി ,SNJNLL
(A/V)ഉപസ്ഥിതപ്രചൂപിത/ വർദ്ധമാന/ ശുദ്ധവിരാടാർഷഭം–പാദം-2,SNJRG
വിപുല ,SNL
ചപലവക്ത്രം ,SNLG
കരുണാകരം ,SNNNLG
കുലപാലം ,SNNNSSG
ശ്രീസദനം ,SNNNYS
പുളകം ,SNNYNLG
രവിരദനം,SNSNJNS
ഹംസമാല ,SRG
"അനുഷ്ടുഭ്-പാദം-1,3/വക്ത്രം",SRGG
"അനുഷ്ടുഭ്-പാദം-1,3",SRGL
"അനുഷ്ടുഭ്-പാദം-2,4/പദ്യാവക്ത്രം",SRLG
"അനുഷ്ടുഭ്- പാദം-2,4",SRLL
"അനുഷ്ടുഭ്-പാദം-1,3/വക്ത്രം",SSGG
"അനുഷ്ടുഭ്-പാദം-1,3",SSGL
സുമുഖി-2,SSJG
"(A/V)വിയോഗിനി-പാദം-1,3 ",SSJGG
"അനുഷ്ടുഭ്-പാദം-2,4/പദ്യാവക്ത്രം",SSLG
"(A/V)ഉപചിത്രം-പാദം-1,3",SSLG
"അനുഷ്ടുഭ്-പാദം-2,4",SSLL
അവനി ,SSNJL
ജഗതീ തിലകം  ,SSNJNGG
ധരണി ,SSNLG
"(A/V)വേഗവതി-പാദം-1,3",SSSGG
"(A/V)ഹരിണപ്ലുതം-പാദം-1,3",SSSLG
തോടകം ,SSSS
കമനീയം,SSSSSG
വിപുല ,STG
വിപുല ,STL
മരതകനീല ,STNTY
വിപുല ,SYG
വിപുല ,SYL
കോകരതം,SYSY
വസന്തതിലകം ,TBJJGG
ലളിതാ  ,TBJR
വിപുല ,TBL
ചപലവക്ത്രം ,TBLG
മത്തേഭം  ,TBYJSRG
വേണി ,TG
വിപുല ,TJG
ഉപസ്ഥിതാഖ്യം ,TJJGG
വിപുല ,TJL
കബരി ,TJLG
(A/V)ശുദ്ധവിരാടാർഷഭം-പാദം-3,TJR
"(A/V)ഭദ്രവിരാൾ-പാദം-1,3",TJRG
വിപുല ,TMG
വിപുല ,TML
വിപുല ,TNL
ചപലവക്ത്രം ,TNLG
ശശികല-1 ,TNNYNJY
"അനുഷ്ടുഭ്-പാദം-1,3/വക്ത്രം",TRGG
"അനുഷ്ടുഭ്-പാദം-1,3",TRGL
നാരാചിക,TRLG
"അനുഷ്ടുഭ്-പാദം-2,4/പദ്യാവക്ത്രം",TRLG
"അനുഷ്ടുഭ്-പാദം-2,4",TRLL
വസുമതി ,TS
"അനുഷ്ടുഭ്-പാദം-1,3/ വക്ത്രം",TSGG
"അനുഷ്ടുഭ്-പാദം-1,3",TSGL
"അനുഷ്ടുഭ്-പാദം-2,4/പദ്യാവക്ത്രം",TSLG
"അനുഷ്ടുഭ്-പാദം-2,4",TSLL
വിപുല ,TTG
ഇന്ദ്രവജ്ര ,TTJGG
"(A/V)ആഖ്യാനക്കി-പാദം-1,3",TTJGG
"(A/V)വിപരീതാഖ്യാനകീ-പാദം-2,4",TTJGG
ഇന്ദ്രവംശ ,TTJR
വിപുല ,TTL
അതിമുദിതം ,TTTSTG
തനുമദ്ധ്യ ,TY
സുഷമ  ,TYBG
വിപുല ,TYG
വിപുല ,TYL
മദനാർത്ത ,TYSBGG
"(D)ഇക്ഷുദണ്ഡിക–പാദം-1,3",TYSBMNMNMNNSNNSG
മണിമാല ,TYTY
വിപുല ,YBL
ചപലവക്ത്രം ,YBLG
കാന്ത ,YBNRSLG
വിപുല ,YJG
വിപുല ,YJL
ധരാനന്ദിനി ,YJSSG
വിപുല ,YMG
വിപുല ,YML
ശിഖരിണി ,YMNSBLG
മേഘവിഷ്ഫൂർജിതം ,YMNSRR
ചഞ്ചരീകാവലി  ,YMRRG
വിപുല ,YNL
ചപലവക്ത്രം ,YNLG
"അനുഷ്ടുഭ്-പാദം-1,3/വക്ത്രം",YRGG
"അനുഷ്ടുഭ്-പാദം-1,3",YRGL
"അനുഷ്ടുഭ്-പാദം-2,4/പദ്യാവക്ത്രം",YRLG
"അനുഷ്ടുഭ്-പാദം-2,4",YRLL
"അനുഷ്ടുഭ്-പാദം-1,3/വക്ത്രം",YSGG
"അനുഷ്ടുഭ്-പാദം-1,3",YSGL
"അനുഷ്ടുഭ്-പാദം-2,4/പദ്യാവക്ത്രം",YSLG
"അനുഷ്ടുഭ്-പാദം-2,4",YSLL
വിപുല ,YTG
വിപുല ,YTL
വിപുല ,YYG
വിപുല ,YYL
കുമാരി-2,YYYLG
ഭുജംഗപ്രയാതം,YYYY
(D)സിംഹവിക്രാന്തം-1,YYYYYYYYY
(D)സിംഹവിക്രാന്തം-2,YYYYYYYYYY
(D)സിംഹവിക്രാന്തം-3,YYYYYYYYYYY
(D)സിംഹവിക്രാന്തം-4  ,YYYYYYYYYYYY
(D)സിംഹവിക്രാന്തം-5,YYYYYYYYYYYYY
