,"MIN","MAX","UNITE","DESCRIPTION","DATATYPE","DATASCIENTISM","PRECISION","FREQUENCE_ECHANTILLONNAGE","VAL_DEF","DEVICE"
"SIS-02-TT-01-XM00",-50,80,"°C","Température ambiante","REAL","TRUE",0.01,5,0,"meteo"
"SIS-02-PT-01-XM00",800,1200,"mbara","Pression atmosphérique","REAL","TRUE",0.01,5,0,"meteo"
"SIS-02-HU-01-XM00",0,100,"%","Humité ambiante","REAL","TRUE",0.01,5,0,"meteo"
"SIS-02-DP-01-XM00",-50,80,"°C","Point de rosée","REAL","TRUE",0.01,5,0,"meteo"
"SIS-02-CL-01-XM00",0,100,"%","Couverture nuageuse","REAL","TRUE",0.01,5,0,"meteo"
"PV00000001-centrale SLS 80kWc-JTWH-00",-200000,200000,"kWh","centrale PV sls 80 kWc compteur PV","REAL","TRUE",0.01,5,0,"smartlogger"
"PV00000001-centrale SLS 80kWc-JTW-00",-200000,200000,"kW","centrale PV sls 80 kWc puissance PV","REAL","TRUE",0.01,5,0,"smartlogger"
"C00000016-GENERAL_ADMINISTRATIF-23-kWh-JTWH",-200000,200000,"kWh","zone A-B-C-D energie","REAL","TRUE",0.01,5,0,"vmuc"
"C00000016-GENERAL_ADMINISTRATIF-23-kWh L3-JTWH",-200000,200000,"kWh","zone A-B-C-D L3 energie","REAL","TRUE",0.01,5,0,"vmuc"
"C00000016-GENERAL_ADMINISTRATIF-23-kWh L2-JTWH",-200000,200000,"kWh","zone A-B-C-D L2 energie","REAL","TRUE",0.01,5,0,"vmuc"
"C00000016-GENERAL_ADMINISTRATIF-23-kWh L1-JTWH",-200000,200000,"kWh","zone A-B-C-D L1 energie","REAL","TRUE",0.01,5,0,"vmuc"
"C00000016-GENERAL_ADMINISTRATIF-23-kWh (-)-JTWH",-200000,200000,"kWh","zone A-B-C-D quezaco2","REAL","TRUE",0.01,5,0,"vmuc"
"C00000016-GENERAL_ADMINISTRATIF-23-kW sys-JTW",-200000,200000,"kW","zone A-B-C-D puissance","REAL","TRUE",0.01,5,0,"vmuc"
"C00000016-GENERAL_ADMINISTRATIF-23-kW L3-JTW",-200000,200000,"kW","zone A-B-C-D L3 puissance","REAL","TRUE",0.01,5,0,"vmuc"
"C00000016-GENERAL_ADMINISTRATIF-23-kW L2-JTW",-200000,200000,"kW","zone A-B-C-D L2 puissance","REAL","TRUE",0.01,5,0,"vmuc"
"C00000016-GENERAL_ADMINISTRATIF-23-kW L1-JTW",-200000,200000,"kW","zone A-B-C-D L1 puissance","REAL","TRUE",0.01,5,0,"vmuc"
"C00000016-GENERAL_ADMINISTRATIF-23-kW dmd-JTW",-200000,200000,"kW","zone A-B-C-D puissance demandée","REAL","TRUE",0.01,5,0,"vmuc"
"C00000016-GENERAL_ADMINISTRATIF-23-kvarh-JTVarH",-200000,200000,"kvarh","zone A-B-C-D quezaco4","REAL","TRUE",0.01,5,0,"vmuc"
"C00000016-GENERAL_ADMINISTRATIF-23-kvar sys-JTVar",-200000,200000,"kvar","zone A-B-C-D puissance reactive","REAL","TRUE",0.01,5,0,"vmuc"
"C00000016-GENERAL_ADMINISTRATIF-23-kvar L3-JTVar",-200000,200000,"kvar","zone A-B-C-D L3 puissance reactive","REAL","TRUE",0.01,5,0,"vmuc"
"C00000016-GENERAL_ADMINISTRATIF-23-kvar L2-JTVar",-200000,200000,"kvar","zone A-B-C-D L2 puissance reactive","REAL","TRUE",0.01,5,0,"vmuc"
"C00000016-GENERAL_ADMINISTRATIF-23-kvar L1-JTVar",-200000,200000,"kvar","zone A-B-C-D L1 puissance reactive","REAL","TRUE",0.01,5,0,"vmuc"
"C00000016-GENERAL_ADMINISTRATIF-23-kVA sys-JTVA",-200000,200000,"kVA","zone A-B-C-D puissance active","REAL","TRUE",0.01,5,0,"vmuc"
"C00000016-GENERAL_ADMINISTRATIF-23-kVA L3-JTVA",-200000,200000,"kVA","zone A-B-C-D L3 puissance active","REAL","TRUE",0.01,5,0,"vmuc"
"C00000016-GENERAL_ADMINISTRATIF-23-kVA L2-JTVA",-200000,200000,"kVA","zone A-B-C-D L2 puissance active","REAL","TRUE",0.01,5,0,"vmuc"
"C00000016-GENERAL_ADMINISTRATIF-23-kVA L1-JTVA",-200000,200000,"kVA","zone A-B-C-D L1 puissance active","REAL","TRUE",0.01,5,0,"vmuc"
"C00000015-F002-22-kWh-JTWH",-200000,200000,"kWh","Cegelec Vinci energie","REAL","TRUE",0.01,5,0,"vmuc"
"C00000015-F002-22-kWh L3-JTWH",-200000,200000,"kWh","Cegelec Vinci L3 energie","REAL","TRUE",0.01,5,0,"vmuc"
"C00000015-F002-22-kWh L2-JTWH",-200000,200000,"kWh","Cegelec Vinci L2 energie","REAL","TRUE",0.01,5,0,"vmuc"
"C00000015-F002-22-kWh L1-JTWH",-200000,200000,"kWh","Cegelec Vinci L1 energie","REAL","TRUE",0.01,5,0,"vmuc"
"C00000015-F002-22-kWh (-)-JTWH",-200000,200000,"kWh","Cegelec Vinci quezaco2","REAL","TRUE",0.01,5,0,"vmuc"
