OrderNo,GroupNo
D0780,78
D0781,77
D0782,78
D0783,78
D0784,78
D0785,78
D0786,78
D0787,78
D0788,78
D0789,78
D0790,78
D0791,79
D0792,79
D0793,79
D0794,79
D0795,79
D0796,79
D0797,79
D0798,79
D0799,79
D0800,9
D0801,79
D0802,79
D0803,80
D0804,79
D0805,80
D0806,80
D0807,80
D0808,80
D0809,80
D0810,80
D0811,80
D0812,80
D0813,81
D0814,81
D0815,81
D0816,81
D0817,81
D0818,81
D0819,81
D0820,81
D0821,81
D0822,81
D0823,81
D0824,82
D0825,81
D0826,80
D0827,82
D0828,82
D0829,82
D0830,82
D0831,82
D0832,82
D0833,82
D0834,82
D0835,82
D0836,83
D0837,83
D0838,83
D0839,76
D0840,49
D0841,83
D0842,83
D0843,83
D0844,71
D0845,83
D0846,83
D0847,83
D0848,83
D0849,83
D0850,84
D0851,84
D0852,84
D0853,84
D0854,82
D0855,84
D0856,84
D0857,84
D0858,84
D0859,85
D0860,85
D0861,84
D0862,85
D0863,85
D0864,85
D0865,83
D0866,85
D0867,85
D0868,85
D0869,85
D0870,86
D0871,85
D0872,86
D0873,86
D0874,86
D0875,86
D0876,86
D0877,86
D0878,86
D0879,86
D0880,86
D0881,86
D0882,87
D0883,87
D0884,87
D0885,87
D0886,87
D0887,87
D0888,87
D0889,87
D0890,88
D0891,88
D0892,88
D0893,88
D0894,88
D0895,88
D0896,88
D0897,86
D0898,88
D0899,88
D0900,88
D0901,88
D0902,89
D0903,87
D0904,89
D0905,89
D0906,89
D0907,89
D0908,89
D0909,89
D0910,89
D0911,89
D0912,89
D0913,90
D0914,90
D0915,42
D0916,90
D0917,90
D0918,89
D0919,90
D0920,90
D0921,90
D0922,90
D0923,91
