"Compteurs","Compteurs","description Compteurs"
"C00000001-A003","A003","Altitude commerciale (la conserverie)"
"C00000002-B007","B007","Sibuet atelier (hall à billettes)"
"C00000003-B001","B001","Sylfen"
"C00000004-A002","A002","Bureaux et communs administratif centraux rez de chaussée"
"C00000005-A001","A001","coffret ""local pompes"""
"C00000006-B006","B006","Carrossier"
"C00000008-B003","B003","K2M"
"C00000009-A004","A004","Locaux sociaux de Sibuet"
"C0000000a-D002","D002","RDC aile Chartreuse"
"C0000000b-D001","D001","Clim Sweetair"
"C0000000c-A005","A005","Poste de garde "
"C0000000d-F003","F003","Atelier mécanique Cheylas"
"C0000000e-B002","B002","Auto passion"
"C0000000f-B004","B004","local W (Local à papier derrière Sylfen) + local Antoine"
"C00000010-E001","E001","Zone E "
"C00000011-A006","A006","Serma"
"C00000012-F001","F001","Zone F"
"C00000013-E002","E002","Geodis"
"C00000014-A007","A007","zone A-B-C-D"
"C00000015-F002","F002","Cegelec Vinci"
"C00000016-E003","E003","Dressage Geodis"
"C00000017-F004","F004","Bombardier Alstom"
"PV00000001-centrale SLS 80kWc","PV00000001-centrale SLS 80kWc","centrale PV sls 80 kWc"
