symbol,longName,quoteType,currency,marketCap,Market_Cap,name
ACX.MC,"Acerinox, S.A.",EQUITY,EUR,"{'raw': 2364299776, 'fmt': '2.364B', 'longFmt': '2,364,299,776'}",2404454232,acerinox
APAM.MC,Aperam S.A.,EQUITY,EUR,"{'raw': 2291982848, 'fmt': '2.292B', 'longFmt': '2,291,982,848'}",2330909098,aperam
UNI.MC,"Unicaja Banco, S.A.",EQUITY,EUR,"{'raw': 2282080512, 'fmt': '2.282B', 'longFmt': '2,282,080,512'}",2320838584,unicaja
GEST.MC,"Gestamp Automoción, S.A.",EQUITY,EUR,"{'raw': 2124150528, 'fmt': '2.124B', 'longFmt': '2,124,150,528'}",2160226371,gestamp
VID.MC,"Vidrala, S.A.",EQUITY,EUR,"{'raw': 1880692096, 'fmt': '1.881B', 'longFmt': '1,880,692,096'}",1912633125,vidrala
XUSI.MC,Usinas Siderúrgicas de Minas Gerais S.A.,EQUITY,EUR,"{'raw': 1878224128, 'fmt': '1.878B', 'longFmt': '1,878,224,128'}",1910123242,usinas
ALM.MC,"Almirall, S.A.",EQUITY,EUR,"{'raw': 1754447488, 'fmt': '1.754B', 'longFmt': '1,754,447,488'}",1784244422,almirall
XBRPO.MC,Bradespar S.A.,EQUITY,EUR,"{'raw': 1653475200, 'fmt': '1.653B', 'longFmt': '1,653,475,200'}",1681557255,bradespar
IDR.MC,"Indra Sistemas, S.A.",EQUITY,EUR,"{'raw': 1555088512, 'fmt': '1.555B', 'longFmt': '1,555,088,512'}",1581499601,sistemas
NHH.MC,"NH Hotel Group, S.A.",EQUITY,EUR,"{'raw': 1513855872, 'fmt': '1.514B', 'longFmt': '1,513,855,872'}",1539566680,"nh,hotel"
SCYR.MC,"Sacyr, S.A.",EQUITY,EUR,"{'raw': 1420835712, 'fmt': '1.421B', 'longFmt': '1,420,835,712'}",1444966698,sacyr
MEL.MC,"Meliá Hotels International, S.A.",EQUITY,EUR,"{'raw': 1355773696, 'fmt': '1.356B', 'longFmt': '1,355,773,696'}",1378799691,meliá
FAE.MC,"Faes Farma, S.A.",EQUITY,EUR,"{'raw': 1201034240, 'fmt': '1.201B', 'longFmt': '1,201,034,240'}",1221432193,faes
LDA.MC,"Línea Directa Aseguradora, S.A.",EQUITY,EUR,"{'raw': 1182242944, 'fmt': '1.182B', 'longFmt': '1,182,242,944'}",1202321752,línea
PHM.MC,"Pharma Mar, S.A.",EQUITY,EUR,"{'raw': 1092750848, 'fmt': '1.093B', 'longFmt': '1,092,750,848'}",1111309753,pharma
CASH.MC,"Prosegur Cash, S.A.",EQUITY,EUR,"{'raw': 1057274240, 'fmt': '1.057B', 'longFmt': '1,057,274,240'}",1075230622,prosegur
TL5.MC,"Mediaset España Comunicación, S.A.",EQUITY,EUR,"{'raw': 1032821568, 'fmt': '1.033B', 'longFmt': '1,032,821,568'}",1050362655,mediaset
MVC.MC,Metrovacesa S.A.,EQUITY,EUR,"{'raw': 1031360896, 'fmt': '1.031B', 'longFmt': '1,031,360,896'}",1048877175,metrovacesa
GRE.MC,"Grenergy Renovables, S.A.",EQUITY,EUR,"{'raw': 1022755392, 'fmt': '1.023B', 'longFmt': '1,022,755,392'}",1040125518,grenergy
ENO.MC,"Elecnor, S.A.",EQUITY,EUR,"{'raw': 990703360, 'fmt': '990.703M', 'longFmt': '990,703,360'}",1007529125,elecnor
